Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AUTO HALL,30/03/2026,AUTO HALL,ATH,78.81,78.1,79.8,78.1,610,47800.83,23,3928002636.8
AUTO HALL,27/03/2026,AUTO HALL,ATH,80.0,79.0,80.0,79.0,15132,1195489.0,21,3973267712.0
AUTO HALL,26/03/2026,AUTO HALL,ATH,79.0,79.0,79.0,78.5,20779,1641514.0,28,3973267712.0
AUTO HALL,25/03/2026,AUTO HALL,ATH,80.0,79.0,80.0,79.0,448,35538.1,14,3973267712.0
AUTO HALL,24/03/2026,AUTO HALL,ATH,80.8,78.1,80.8,78.1,2670,212282.3,38,3928002636.8
AUTO NEJMA,09/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,08/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,07/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,06/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,03/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,02/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,01/04/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,31/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,30/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,27/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,26/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,25/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
AUTO NEJMA,24/03/2026,AUTO NEJMA,NEJ,-,4585.0,-,-,-,-,-,4691665440.0
BALIMA,09/04/2026,BALIMA,BAL,-,216.5,-,-,-,-,-,377576000.0
BALIMA,08/04/2026,BALIMA,BAL,216.5,216.5,216.5,216.5,22,4763.0,4,377576000.0
BALIMA,07/04/2026,BALIMA,BAL,216.5,216.5,216.5,216.5,45,9742.5,2,377576000.0
BALIMA,06/04/2026,BALIMA,BAL,216.55,216.55,216.55,216.55,1,216.55,1,377663200.0
BALIMA,03/04/2026,BALIMA,BAL,-,230.0,-,-,-,-,-,401120000.0
BALIMA,02/04/2026,BALIMA,BAL,-,230.0,-,-,-,-,-,401120000.0
BALIMA,01/04/2026,BALIMA,BAL,-,230.0,-,-,-,-,-,401120000.0
BALIMA,31/03/2026,BALIMA,BAL,230.0,230.0,230.0,230.0,1,230.0,1,401120000.0
BALIMA,30/03/2026,BALIMA,BAL,-,221.0,-,-,-,-,-,385424000.0
BALIMA,27/03/2026,BALIMA,BAL,-,221.0,-,-,-,-,-,385424000.0
BALIMA,26/03/2026,BALIMA,BAL,221.0,221.0,221.0,221.0,1,221.0,1,385424000.0
BALIMA,25/03/2026,BALIMA,BAL,230.0,230.0,230.0,230.0,74,17020.0,3,401120000.0
BALIMA,24/03/2026,BALIMA,BAL,232.05,232.05,232.05,232.05,40,9282.0,3,404695200.0
BANK OF AFRICA,09/04/2026,BANK OF AFRICA,BOA,205.45,207.0,207.0,203.0,119455,24702893.2,65,45598349367.0
BANK OF AFRICA,08/04/2026,BANK OF AFRICA,BOA,207.0,203.55,208.8,203.55,19783,4045218.65,70,44838376877.55
BANK OF AFRICA,07/04/2026,BANK OF AFRICA,BOA,203.0,200.0,203.0,200.0,16829,3367276.25,97,44056376200.0
BANK OF AFRICA,06/04/2026,BANK OF AFRICA,BOA,207.2,203.0,207.2,203.0,1914,391121.3,36,44717221843.0
BANK OF AFRICA,03/04/2026,BANK OF AFRICA,BOA,204.5,203.0,204.5,203.0,144487,29336615.1,64,44717221843.0
BANK OF AFRICA,02/04/2026,BANK OF AFRICA,BOA,202.9,203.0,204.0,201.0,23137,4675220.75,69,44717221843.0
BANK OF AFRICA,01/04/2026,BANK OF AFRICA,BOA,209.0,200.0,209.0,200.0,61488,12330219.25,177,44056376200.0
BANK OF AFRICA,31/03/2026,BANK OF AFRICA,BOA,208.0,200.0,210.0,200.0,14129,2845133.8,106,44056376200.0
BANK OF AFRICA,30/03/2026,BANK OF AFRICA,BOA,214.0,205.0,214.0,205.0,1846,379322.0,27,45157785605.0
BANK OF AFRICA,27/03/2026,BANK OF AFRICA,BOA,210.0,205.0,213.9,205.0,78208,16425378.95,73,45157785605.0
BANK OF AFRICA,26/03/2026,BANK OF AFRICA,BOA,217.0,208.0,217.0,208.0,23304,4853203.1,66,45818631248.0
BANK OF AFRICA,25/03/2026,BANK OF AFRICA,BOA,218.0,217.9,218.0,211.5,6400,1392494.8,17,47999421869.9
BANK OF AFRICA,24/03/2026,BANK OF AFRICA,BOA,221.9,218.0,221.9,215.0,241381,52622399.8,44,48021450058.0
BCP,09/04/2026,BCP,BCP,247.9,246.8,247.9,244.0,31758,7811292.3,73,50177518336.4
BCP,08/04/2026,BCP,BCP,248.95,247.1,248.95,243.5,118731,29180301.1,162,50238512078.3
BCP,07/04/2026,BCP,BCP,242.4,240.0,242.4,240.0,30494,7321892.5,126,48794993520.0
BCP,06/04/2026,BCP,BCP,243.85,240.0,244.0,240.0,76151,18283754.65,221,48794993520.0
BCP,03/04/2026,BCP,BCP,249.9,240.0,249.9,240.0,180169,43310683.5,287,48794993520.0
BCP,02/04/2026,BCP,BCP,246.9,248.2,248.6,243.0,49584,12064989.45,65,50462155798.6
BCP,01/04/2026,BCP,BCP,249.0,243.0,249.0,243.0,77493,18905985.55,107,49404930939.0
BCP,31/03/2026,BCP,BCP,243.0,243.0,245.0,242.5,54922,13354516.5,113,49404930939.0
BCP,30/03/2026,BCP,BCP,247.8,242.55,247.8,242.05,3003,734262.6,92,49313440326.15
BCP,27/03/2026,BCP,BCP,252.95,240.0,252.95,240.0,91979,22155634.25,269,48794993520.0
BCP,26/03/2026,BCP,BCP,249.0,245.0,252.9,245.0,56391,13838119.3,218,49811555885.0
BCP,25/03/2026,BCP,BCP,249.0,249.0,254.9,249.0,34601,8662443.7,126,50624805777.0
BCP,24/03/2026,BCP,BCP,255.0,248.0,255.0,248.0,13221,3294014.05,120,50421493304.0
BMCI,09/04/2026,BMCI,BCI,602.0,609.0,609.0,600.0,5904,3590288.0,12,8087085174.0
BMCI,08/04/2026,BMCI,BCI,616.9,603.0,621.0,603.0,3668,2238984.0,21,8007409458.0
BMCI,07/04/2026,BMCI,BCI,-,620.0,-,-,-,-,-,8233157320.0
BMCI,06/04/2026,BMCI,BCI,600.0,620.0,620.0,600.0,9291,5758160.2,9,8233157320.0
BMCI,03/04/2026,BMCI,BCI,614.9,597.1,614.9,597.1,5972,3567428.1,6,7929061670.6
BMCI,02/04/2026,BMCI,BCI,605.0,619.9,619.9,590.0,1106,657982.0,19,8231829391.4
BMCI,01/04/2026,BMCI,BCI,618.0,620.0,620.0,608.0,26438,16390424.0,16,8233157320.0
BMCI,31/03/2026,BMCI,BCI,600.0,621.0,621.0,598.0,90,53917.0,5,8246436606.0
BMCI,30/03/2026,BMCI,BCI,625.9,600.0,625.9,600.0,69,41603.6,8,7967571600.0
BMCI,27/03/2026,BMCI,BCI,625.9,625.9,625.9,625.9,3001,1878325.9,9,8311505107.4
BMCI,26/03/2026,BMCI,BCI,628.0,627.0,628.0,615.0,5001,3111628.0,8,8326112322.0
BMCI,25/03/2026,BMCI,BCI,620.0,610.0,620.0,602.0,1620,992322.0,17,8100364460.0
BMCI,24/03/2026,BMCI,BCI,606.5,601.0,620.0,580.0,32999,20438896.0,27,7980850886.0
CARTIER SAADA,09/04/2026,CARTIER SAADA,CRS,31.77,30.1,31.77,30.1,445,13911.7,10,158476500.0
CARTIER SAADA,08/04/2026,CARTIER SAADA,CRS,30.0,31.4,31.6,30.0,1992,61774.5,26,165321000.0
CARTIER SAADA,07/04/2026,CARTIER SAADA,CRS,30.95,30.0,30.95,30.0,582,17562.2,12,157950000.0
CARTIER SAADA,06/04/2026,CARTIER SAADA,CRS,29.0,30.0,31.0,29.0,309,9365.0,19,157950000.0
CARTIER SAADA,03/04/2026,CARTIER SAADA,CRS,29.01,30.0,30.5,29.01,163,4890.61,10,157950000.0
